"Id","Existencia_de_irmãos","Experiência_conjugal","Sexo","IdadeIndiv","Horas_Trabalho_Semana","Tamanho_do_Agregado","Nivel_de_Escolaridade","resp"
1027,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1054,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",47,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1058,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,"16-35",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1075,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",47,"16-35",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1099,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",47,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1110,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
1114,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
1119,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",47,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
1122,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1136,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
1151,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",46,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1161,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,"<16",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1168,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",46,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
1174,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1183,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
1188,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
1193,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,"16-35",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1195,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1200,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1201,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",46,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1214,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1219,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1231,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",46,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
1232,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",46,">=36",1,"Secundário e pós-secundário","Não tem filhos mas pensa vir a ter"
1233,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",46,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1241,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1245,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1254,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",46,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
1256,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1261,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",46,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
1262,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
1280,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1284,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,NA,1,"Superior","Não tem filhos e não pensa vir a ter"
1306,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",46,">=36",1,"Superior","Não tem filhos mas pensa vir a ter"
1317,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1319,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1321,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",46,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1332,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1334,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",2,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1344,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1350,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1352,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1353,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",46,NA,1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
1357,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1359,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",46,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1370,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",46,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
1377,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",45,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
